"Cst_Cnt","Depth_zone","mean_ChlorA","mean_NO2uM","mean_NO3uM","mean_O2ml_L","mean_O2Sat","mean_Phaeop","mean_PO4uM","mean_Salnty","mean_SiO3uM","mean_T_degC","Bottom_D","Distance","Lat_Dec","Lon_Dec","IntChl","Year","Quarter","Water_density_class","Dist_cat"
27321,"Very shallow",0.406666666666667,0.00333333333333333,0,5.83,101.433333333333,0.186666666666667,0.36,33.2033333333333,3.1,15.04,1687,-69.1,32.918333,-118.931666,25.1,1993,1,"Light","Transición"
27321,"Shallow",0.292,0.068,2.5,5.468,93.54,0.228,0.548,33.263,4.34,14.144,1687,-69.1,32.918333,-118.931666,25.1,1993,1,"Light","Transición"
27321,"Intermediate",0.0533333333333333,0.0116666666666667,13.8333333333333,4.18,67.55,0.09,1.25666666666667,33.4515,13.0166666666667,11.365,1687,-69.1,32.918333,-118.931666,25.1,1993,1,"Intermediate","Transición"
27321,"Deep",0.005,0.00375,29.8375,1.949375,29.89375,0.0316666666666667,2.350625,34.058625,44.7375,8.220625,1687,-69.1,32.918333,-118.931666,25.1,1993,1,"Intermediate","Transición"
27322,"Very shallow",0.396,0,0,5.804,100.92,0.188,0.358,33.182,2.86,15.004,1175,-37.36,33.185,-118.386666,27,1993,1,"Light","Oceánica"
27322,"Shallow",0.334285714285714,0.0442857142857143,1.64285714285714,5.5,94.9857142857143,0.211428571428571,0.481428571428571,33.2678571428571,3.85714285714286,14.6257142857143,1175,-37.36,33.185,-118.386666,27,1993,1,"Light","Oceánica"
27322,"Intermediate",0.0833333333333333,0.0166666666666667,11.9333333333333,4.065,67.1,0.116666666666667,1.17,33.4735,11.5333333333333,12.3683333333333,1175,-37.36,33.185,-118.386666,27,1993,1,"Light","Oceánica"
27322,"Deep",0.005,0.00375,29.50625,1.924375,29.725,0.0366666666666667,2.3375,34.0580625,44.38125,8.403125,1175,-37.36,33.185,-118.386666,27,1993,1,"Intermediate","Oceánica"
27323,"Very shallow",0.58,0.022,0,5.786,100.54,0.306,0.368,33.1912,3.02,14.96,379,-29.4,33.25,-118.248333,30.7,1993,1,"Light","Oceánica"
27323,"Shallow",0.375,0.0916666666666667,1.63333333333333,5.51833333333333,94.9333333333333,0.291666666666667,0.491666666666667,33.2715,3.65,14.4316666666667,379,-29.4,33.25,-118.248333,30.7,1993,1,"Light","Oceánica"
27323,"Intermediate",0.0583333333333333,0.0116666666666667,13.0666666666667,4.235,68.6333333333333,0.0816666666666667,1.21833333333333,33.433,11.6166666666667,11.5066666666667,379,-29.4,33.25,-118.248333,30.7,1993,1,"Intermediate","Oceánica"
27323,"Deep",0.005,0.0025,26.8333333333333,2.45333333333333,37.75,0.03,2.105,33.9836666666667,35.2416666666667,8.80583333333333,379,-29.4,33.25,-118.248333,30.7,1993,1,"Intermediate","Oceánica"
27324,"Very shallow",0.456,0,0,5.774,100.68,0.218,0.364,33.1772,2.6,15.144,618,-9.44,33.418333,-117.905,35.3,1993,1,"Light","Oceánica"
27324,"Shallow",0.404285714285714,0.0457142857142857,0.185714285714286,5.72428571428571,99.6428571428571,0.227142857142857,0.385714285714286,33.2357142857143,2.68571428571429,15.0485714285714,618,-9.44,33.418333,-117.905,35.3,1993,1,"Light","Oceánica"
27324,"Intermediate",0.1825,0.0925,5.35,5.2875,87.9,0.2425,0.74,33.1925,6.075,12.8,618,-9.44,33.418333,-117.905,35.3,1993,1,"Light","Oceánica"
27324,"Deep",0.00857142857142857,0.00529411764705882,28.7529411764706,2.08470588235294,32.2058823529412,0.0371428571428571,2.26588235294118,34.0244117647059,42.8,8.45882352941176,618,-9.44,33.418333,-117.905,35.3,1993,1,"Intermediate","Oceánica"
27325,"Very shallow",0.488333333333333,0.191666666666667,7.13333333333333,5.69666666666667,98.2333333333333,0.218333333333333,1.06833333333333,31.383,15.2,15.1466666666667,56,-1.47,33.486666,-117.768333,24.5,1993,1,"Light","Oceánica"
27325,"Shallow",0.378571428571429,0.0742857142857143,0.2,5.71571428571429,99.7142857142857,0.205714285714286,0.491428571428571,33.0918571428571,3.27142857142857,15.1957142857143,56,-1.47,33.486666,-117.768333,24.5,1993,1,"Light","Oceánica"
27327,"Very shallow",0.69,0.016,0,5.758,100.4,0.32,0.374,33.152,2.8,15.156,654,-11.62,33.833333,-118.64,36.6,1993,1,"Light","Oceánica"
